"year","sex","age","deaths"
2002,"female",20,4
2003,"female",20,3
2004,"female",20,3
2005,"female",20,4
2006,"female",20,3
2007,"female",20,3
2008,"female",20,3
2009,"female",20,4
2010,"female",20,5
2011,"female",20,6
2012,"female",20,8
2013,"female",20,7
2014,"female",20,6
2015,"female",20,5
2016,"female",20,4
2017,"female",20,4
2018,"female",20,4
2019,"female",20,5
2020,"female",20,4
2021,"female",20,4
2022,"female",20,4
2023,"female",20,5
2024,"female",20,4
1990,"female",25,4
1991,"female",25,5
1992,"female",25,4
1993,"female",25,4
1994,"female",25,5
1995,"female",25,3
1996,"female",25,4
1997,"female",25,4
1998,"female",25,4
1999,"female",25,4
2000,"female",25,3
2001,"female",25,4
2002,"female",25,4
2003,"female",25,4
2004,"female",25,3
2005,"female",25,4
2006,"female",25,4
2007,"female",25,4
2008,"female",25,4
2009,"female",25,5
2010,"female",25,6
2011,"female",25,6
2012,"female",25,7
2013,"female",25,6
2014,"female",25,5
2015,"female",25,4
2016,"female",25,4
2017,"female",25,4
2018,"female",25,4
2019,"female",25,5
2020,"female",25,5
2021,"female",25,6
2022,"female",25,5
2023,"female",25,5
2024,"female",25,5
1990,"female",30,4
1991,"female",30,4
1992,"female",30,4
1993,"female",30,4
1994,"female",30,4
1995,"female",30,4
1996,"female",30,3
1997,"female",30,3
1998,"female",30,4
1999,"female",30,3
2000,"female",30,3
2001,"female",30,4
2002,"female",30,4
2003,"female",30,4
2004,"female",30,4
2005,"female",30,4
2006,"female",30,4
2007,"female",30,5
2008,"female",30,5
2009,"female",30,6
2010,"female",30,6
2011,"female",30,7
2012,"female",30,7
2013,"female",30,6
2014,"female",30,6
2015,"female",30,5
2016,"female",30,4
2017,"female",30,4
2018,"female",30,4
2019,"female",30,5
2020,"female",30,7
2021,"female",30,6
2022,"female",30,6
2023,"female",30,6
2024,"female",30,6
1990,"female",35,4
1991,"female",35,4
1992,"female",35,4
1993,"female",35,4
1994,"female",35,4
1995,"female",35,4
1996,"female",35,4
1997,"female",35,4
1998,"female",35,5
1999,"female",35,4
2000,"female",35,4
2001,"female",35,4
2002,"female",35,4
2003,"female",35,4
2004,"female",35,4
2005,"female",35,4
2006,"female",35,5
2007,"female",35,5
2008,"female",35,5
2009,"female",35,6
2010,"female",35,7
2011,"female",35,7
2012,"female",35,8
2013,"female",35,8
2014,"female",35,7
2015,"female",35,6
2016,"female",35,6
2017,"female",35,6
2018,"female",35,6
2019,"female",35,6
2020,"female",35,10
2021,"female",35,9
2022,"female",35,7
2023,"female",35,7
2024,"female",35,7
1990,"female",40,5
1991,"female",40,4
1992,"female",40,4
1993,"female",40,5
1994,"female",40,4
1995,"female",40,4
1996,"female",40,5
1997,"female",40,5
1998,"female",40,5
1999,"female",40,4
2000,"female",40,5
2001,"female",40,5
2002,"female",40,5
2003,"female",40,6
2004,"female",40,5
2005,"female",40,6
2006,"female",40,6
2007,"female",40,6
2008,"female",40,6
2009,"female",40,7
2010,"female",40,7
2011,"female",40,8
2012,"female",40,7
2013,"female",40,9
2014,"female",40,8
2015,"female",40,8
2016,"female",40,8
2017,"female",40,8
2018,"female",40,8
2019,"female",40,9
2020,"female",40,14
2021,"female",40,12
2022,"female",40,9
2023,"female",40,9
2024,"female",40,9
1990,"female",45,5
1991,"female",45,6
1992,"female",45,5
1993,"female",45,6
1994,"female",45,5
1995,"female",45,6
1996,"female",45,6
1997,"female",45,6
1998,"female",45,6
1999,"female",45,6
2000,"female",45,6
2001,"female",45,6
2002,"female",45,7
2003,"female",45,6
2004,"female",45,6
2005,"female",45,8
2006,"female",45,7
2007,"female",45,9
2008,"female",45,9
2009,"female",45,9
2010,"female",45,9
2011,"female",45,10
2012,"female",45,9
2013,"female",45,9
2014,"female",45,11
2015,"female",45,10
2016,"female",45,11
2017,"female",45,10
2018,"female",45,11
2019,"female",45,12
2020,"female",45,22
2021,"female",45,17
2022,"female",45,14
2023,"female",45,14
2024,"female",45,14
1990,"female",50,7
1991,"female",50,7
1992,"female",50,7
1993,"female",50,7
1994,"female",50,7
1995,"female",50,7
1996,"female",50,7
1997,"female",50,8
1998,"female",50,8
1999,"female",50,7
2000,"female",50,8
2001,"female",50,8
2002,"female",50,9
2003,"female",50,9
2004,"female",50,8
2005,"female",50,10
2006,"female",50,10
2007,"female",50,10
2008,"female",50,10
2009,"female",50,12
2010,"female",50,12
2011,"female",50,13
2012,"female",50,12
2013,"female",50,14
2014,"female",50,14
2015,"female",50,14
2016,"female",50,14
2017,"female",50,15
2018,"female",50,15
2019,"female",50,15
2020,"female",50,28
2021,"female",50,21
2022,"female",50,18
2023,"female",50,17
2024,"female",50,18
1990,"female",55,9
1991,"female",55,8
1992,"female",55,9
1993,"female",55,10
1994,"female",55,9
1995,"female",55,8
1996,"female",55,9
1997,"female",55,9
1998,"female",55,9
1999,"female",55,10
2000,"female",55,11
2001,"female",55,11
2002,"female",55,10
2003,"female",55,11
2004,"female",55,11
2005,"female",55,11
2006,"female",55,12
2007,"female",55,13
2008,"female",55,14
2009,"female",55,13
2010,"female",55,14
2011,"female",55,14
2012,"female",55,15
2013,"female",55,16
2014,"female",55,18
2015,"female",55,18
2016,"female",55,18
2017,"female",55,19
2018,"female",55,18
2019,"female",55,19
2020,"female",55,36
2021,"female",55,28
2022,"female",55,22
2023,"female",55,23
2024,"female",55,22
1990,"female",60,10
1991,"female",60,11
1992,"female",60,11
1993,"female",60,12
1994,"female",60,11
1995,"female",60,11
1996,"female",60,12
1997,"female",60,12
1998,"female",60,11
1999,"female",60,13
2000,"female",60,13
2001,"female",60,13
2002,"female",60,14
2003,"female",60,14
2004,"female",60,14
2005,"female",60,14
2006,"female",60,15
2007,"female",60,15
2008,"female",60,17
2009,"female",60,17
2010,"female",60,17
2011,"female",60,17
2012,"female",60,18
2013,"female",60,18
2014,"female",60,20
2015,"female",60,21
2016,"female",60,21
2017,"female",60,20
2018,"female",60,22
2019,"female",60,24
2020,"female",60,45
2021,"female",60,37
2022,"female",60,29
2023,"female",60,28
2024,"female",60,28
1990,"female",65,11
1991,"female",65,11
1992,"female",65,13
1993,"female",65,12
1994,"female",65,12
1995,"female",65,11
1996,"female",65,13
1997,"female",65,14
1998,"female",65,14
1999,"female",65,13
2000,"female",65,14
2001,"female",65,16
2002,"female",65,16
2003,"female",65,16
2004,"female",65,16
2005,"female",65,18
2006,"female",65,17
2007,"female",65,16
2008,"female",65,18
2009,"female",65,19
2010,"female",65,19
2011,"female",65,20
2012,"female",65,19
2013,"female",65,21
2014,"female",65,22
2015,"female",65,22
2016,"female",65,23
2017,"female",65,24
2018,"female",65,24
2019,"female",65,26
2020,"female",65,47
2021,"female",65,38
2022,"female",65,32
2023,"female",65,29
2024,"female",65,31
1990,"female",70,11
1991,"female",70,12
1992,"female",70,13
1993,"female",70,12
1994,"female",70,13
1995,"female",70,14
1996,"female",70,15
1997,"female",70,15
1998,"female",70,15
1999,"female",70,14
2000,"female",70,16
2001,"female",70,15
2002,"female",70,16
2003,"female",70,18
2004,"female",70,17
2005,"female",70,20
2006,"female",70,20
2007,"female",70,20
2008,"female",70,21
2009,"female",70,22
2010,"female",70,21
2011,"female",70,22
2012,"female",70,21
2013,"female",70,22
2014,"female",70,24
2015,"female",70,23
2016,"female",70,26
2017,"female",70,25
2018,"female",70,25
2019,"female",70,27
2020,"female",70,48
2021,"female",70,39
2022,"female",70,34
2023,"female",70,31
2024,"female",70,32
1990,"female",75,13
1991,"female",75,11
1992,"female",75,11
1993,"female",75,11
1994,"female",75,10
1995,"female",75,12
1996,"female",75,12
1997,"female",75,15
1998,"female",75,15
1999,"female",75,15
2000,"female",75,15
2001,"female",75,16
2002,"female",75,17
2003,"female",75,17
2004,"female",75,17
2005,"female",75,19
2006,"female",75,18
2007,"female",75,19
2008,"female",75,20
2009,"female",75,21
2010,"female",75,22
2011,"female",75,22
2012,"female",75,22
2013,"female",75,23
2014,"female",75,25
2015,"female",75,24
2016,"female",75,26
2017,"female",75,23
2018,"female",75,25
2019,"female",75,27
2020,"female",75,46
2021,"female",75,37
2022,"female",75,33
2023,"female",75,30
2024,"female",75,31
1990,"female",80,13
1991,"female",80,13
1992,"female",80,12
1993,"female",80,12
1994,"female",80,13
1995,"female",80,12
1996,"female",80,12
1997,"female",80,12
1998,"female",80,12
1999,"female",80,10
2000,"female",80,12
2001,"female",80,12
2002,"female",80,14
2003,"female",80,15
2004,"female",80,15
2005,"female",80,17
2006,"female",80,17
2007,"female",80,17
2008,"female",80,17
2009,"female",80,17
2010,"female",80,21
2011,"female",80,18
2012,"female",80,19
2013,"female",80,21
2014,"female",80,22
2015,"female",80,21
2016,"female",80,23
2017,"female",80,25
2018,"female",80,25
