"year","sex","age","deaths"
1991,"female",1,77
1992,"female",1,62
1993,"female",1,60
1994,"female",1,51
1995,"female",1,51
1996,"female",1,67
1997,"female",1,73
1998,"female",1,51
1999,"female",1,51
2000,"female",1,53
2001,"female",1,51
2002,"female",1,57
2003,"female",1,48
2004,"female",1,50
2005,"female",1,53
2006,"female",1,56
2007,"female",1,58
2008,"female",1,53
2009,"female",1,45
2010,"female",1,45
2011,"female",1,39
2012,"female",1,64
2013,"female",1,60
2014,"female",1,72
2015,"female",1,61
2016,"female",1,62
2017,"female",1,65
2018,"female",1,50
2019,"female",1,54
2020,"female",1,37
2021,"female",1,40
2022,"female",1,52
2023,"female",1,58
2024,"female",1,46
1990,"female",5,52
1991,"female",5,48
1992,"female",5,35
1993,"female",5,41
1994,"female",5,36
1995,"female",5,25
1996,"female",5,51
1997,"female",5,44
1998,"female",5,38
1999,"female",5,29
2000,"female",5,26
2001,"female",5,37
2002,"female",5,33
2003,"female",5,33
2004,"female",5,37
2005,"female",5,28
2006,"female",5,41
2007,"female",5,37
2008,"female",5,43
2009,"female",5,28
2010,"female",5,38
2011,"female",5,34
2012,"female",5,31
2013,"female",5,32
2014,"female",5,40
2015,"female",5,28
2016,"female",5,34
2017,"female",5,25
2018,"female",5,27
2019,"female",5,22
2020,"female",5,35
2021,"female",5,30
2022,"female",5,24
2023,"female",5,32
2024,"female",5,38
1990,"female",10,65
1991,"female",10,53
1992,"female",10,55
1993,"female",10,45
1994,"female",10,43
1995,"female",10,47
1996,"female",10,47
1997,"female",10,43
1998,"female",10,47
1999,"female",10,39
2000,"female",10,53
2001,"female",10,42
2002,"female",10,42
2003,"female",10,44
2004,"female",10,30
2005,"female",10,50
2006,"female",10,45
2007,"female",10,37
2008,"female",10,46
2009,"female",10,45
2010,"female",10,41
2011,"female",10,48
2012,"female",10,59
2013,"female",10,42
2014,"female",10,46
2015,"female",10,45
2016,"female",10,33
2017,"female",10,40
2018,"female",10,35
2019,"female",10,30
2020,"female",10,47
2021,"female",10,32
2022,"female",10,43
2023,"female",10,39
2024,"female",10,47
1990,"female",15,135
1991,"female",15,130
1992,"female",15,144
1993,"female",15,144
1994,"female",15,163
1995,"female",15,102
1996,"female",15,115
1997,"female",15,124
1998,"female",15,124
1999,"female",15,114
2000,"female",15,111
2001,"female",15,106
2002,"female",15,103
2003,"female",15,92
