"year","sex","x","n","mx","ax","qx","px","lx","dx","Lx","Tx","ex"
2019,"male",15,5,0.00143196442889586,2.5,0.00713428204917896,0.992865717950821,99471.3676265272,709.656792465219,495582.696151473,5034338.96558873,50.6109354451678
2019,"male",20,5,0.00207005000200862,2.5,0.0102969619448068,0.989703038055193,98761.710834062,1016.94557806235,491266.190225154,4538756.26943725,45.956638773332
2019,"male",25,5,0.00268321588721832,2.5,0.0133266835137714,0.986673316486229,97744.7652559996,1302.61355169458,485467.292400762,4047490.0792121,41.4087656624012
2019,"male",30,5,0.00315519370327448,2.5,0.0156525018283492,0.984347498171651,96442.1517043051,1509.56095588156,478436.856131821,3562022.78681134,36.934294018373
2019,"male",35,5,0.00409933101887674,2.5,0.0202887295484547,0.979711270451545,94932.5907484235,1926.0616590289,469847.799594545,3083585.93067952,32.4818474495359
2019,"male",40,5,0.00638702440400629,2.5,0.0314332103165611,0.968566789683439,93006.5290893946,2923.4937896803,457723.910972772,2613738.13108497,28.1027381268334
2019,"male",45,5,0.00986807118122185,2.5,0.048152426964035,0.951847573035965,90083.0352997143,4337.71677796807,439570.884553651,2156014.2201122,23.933632042248
2019,"male",50,5,0.0147620318280279,2.5,0.0711831397052691,0.928816860294731,85745.3185217462,6103.62098740626,413467.540140215,1716443.33555855,20.017924770123
2019,"male",55,5,0.0242909690566946,2.5,0.114501466343719,0.885498533656281,79641.69753434,9119.0911497849,375410.759797238,1302975.79541833,16.36047241279
2019,"male",60,5,0.0362617758924238,2.5,0.166238611293626,0.833761388706374,70522.6063845551,11723.5801501754,323304.081547337,927565.035621095,13.1527333315383
2019,"male",65,5,0.0558579124263004,2.5,0.245067205827347,0.754932794172653,58799.0262343796,14409.7130646283,257970.848510327,604260.954073758,10.2767170269981
2019,"male",70,5,0.0830377942826298,2.5,0.343814895088907,0.656185104911093,44389.3131697513,15261.7070505267,183792.29822244,346290.105563431,7.80120440789804
2019,"male",75,5,0.136652831887316,2.5,0.509278340735598,0.490721659264402,29127.6061192246,14834.0589139988,108552.883311126,162497.807340991,5.57882466124601
