year,sex,mx,qx,lx,dx,Lx,Tx,ex,age,causa,sex_label
2010,male,0.0624504493557192,0.270084933175974,55317.0221683116,14940.2942358223,239234.375252002,534168.622782568,9.65649635219459,65,todas_causas,m
2010,male,0.0961787972330318,0.387677981281659,40376.7279324893,15653.1683756262,162750.718723381,294934.247530566,7.30456038992812,70,todas_causas,m
2010,male,0.146493097119473,0.536120576423116,24723.559556863,13254.8090008567,90480.7752821736,132183.528807185,5.34646026609433,75,todas_causas,m
2010,male,0.23969671764066,0.749407370807571,11468.7505560064,8594.76620062461,35856.8372784704,41702.7535250114,3.63620721554284,80,todas_causas,m
2010,male,0.491622567648364,1,2873.98435538177,2873.98435538177,5845.916246541,5845.916246541,2.03408074772364,85,todas_causas,m
2019,female,0.000231400730953171,0.00115568087458718,1e+05,115.568087458712,499428.359550454,6831482.77471972,68.3148277471972,5,sin_homicidios,f
2019,female,0.000314837913860304,0.0015724675335994,99884.4319125413,157.065026294498,498875.832229602,6332054.41516927,63.3938071621973,10,sin_homicidios,f
2019,female,0.000937844768485616,0.00467825514963377,99727.3668862468,466.550067695003,497470.459261997,5833178.58293966,58.491252351957,15,sin_homicidios,f
2019,female,0.00157801998024052,0.00785909537737235,99260.8168185518,780.100226612893,494353.833526227,5335708.12367767,53.7544249049584,20,sin_homicidios,f
2019,female,0.001915545756641,0.00953208094021256,98480.7165919389,938.726161604485,490056.767555683,4841354.29015144,49.1604291448437,25,sin_homicidios,f
2019,female,0.00211927326842516,0.0105405207325663,97541.9904303344,1028.14337242673,485139.593720605,4351297.52259576,44.6094805262714,30,sin_homicidios,f
2019,female,0.00257158508356994,0.0127757903381885,96513.8470579077,1233.04067474381,479486.633602679,3866157.92887515,40.0580646894687,35,sin_homicidios,f
2019,female,0.00376340931506783,0.018641656119617,95280.8063831639,1776.19202739475,471963.551847333,3386671.29527247,35.5441082399456,40,sin_homicidios,f
2019,female,0.00555783008551517,0.0274083234163831,93504.6143557691,2562.8047111871,461116.060000878,2914707.74342514,31.1718064772202,45,sin_homicidios,f
2019,female,0.00804066155632751,0.0394110798941421,90941.809644582,3584.11492562048,445748.760908859,2453591.68342426,26.9797983239323,50,sin_homicidios,f
2019,female,0.0127305897330672,0.0616895866201759,87357.6947189616,5389.06007530427,423315.823406547,2007842.9225154,22.9841564498106,55,sin_homicidios,f
2019,female,0.0187933189761187,0.0897498509387173,81968.6346436573,7356.67274091842,391451.49136599,1584527.09910886,19.330895360125,60,sin_homicidios,f
2019,female,0.0284740629598447,0.132909155635464,74611.9619027389,9916.6128567984,348268.277371698,1193075.60774287,15.9904065959037,65,sin_homicidios,f
2019,female,0.04078777532595,0.185067633946012,64695.3490459405,11973.0151752436,293544.207291593,844807.330371169,13.0582390052686,70,sin_homicidios,f
2019,female,0.0629483312896763,0.271945385846043,52722.3338706969,14337.5954271705,227767.680785558,551263.123079576,10.4559696547495,75,sin_homicidios,f
2019,female,0.0924052516986388,0.375321958406701,38384.7384435263,14406.6352055533,155907.104203748,323495.442294018,8.42770995482909,80,sin_homicidios,f
2019,female,0.143077397336905,1,23978.103237973,23978.103237973,167588.338090269,167588.338090269,6.98922414450477,85,sin_homicidios,f
2019,female,0.000238753050993455,0.00119235713873577,1e+05,119.235713873582,499410.220633561,6803480.56631662,68.0348056631662,5,todas_causas,f
2019,female,0.000322398557789401,0.00161018709449741,99880.7642861264,160.826717642049,498844.407818707,6304070.34568306,63.1159602225702,10,todas_causas,f
2019,female,0.000956694899544702,0.00477206098171969,99719.9375684844,475.869623170089,497410.013784497,5805225.93786435,58.2152985593028,15,todas_causas,f
2019,female,0.00161268091528636,0.00803102587105076,99244.0679453143,797.03167721715,494227.760533529,5307815.92407986,53.4824502256859,20,todas_causas,f
2019,female,0.00195231617953905,0.00971416807891717,98447.0362680971,956.33105717953,489844.353697537,4813588.16354633,48.8952064584013,25,todas_causas,f
2019,female,0.00215889947245095,0.0107365495344401,97490.7052109176,1046.71378564453,484836.741590477,4323743.80984879,44.3503183251627,30,todas_causas,f
2019,female,0.00262589997320082,0.0130438701205044,96443.9914252731,1258.0028980543,479074.94988123,3838907.06825832,39.8045229311438,35,todas_causas,f
2019,female,0.00384039490053399,0.0190193697759229,95185.9885272188,1810.37751328593,471403.998852879,3359832.11837709,35.2975492544928,40,todas_causas,f
2019,female,0.00567009133835181,0.0279541995301923,93375.6110139328,2610.24046153709,460352.453915822,2888428.11952421,30.9334320617534,45,todas_causas,f
2019,female,0.00820767588906314,0.0402132364178948,90765.3705523957,3649.96930458133,444701.929500525,2428075.66560839,26.7511238133131,50,todas_causas,f
2019,female,0.0129905946959267,0.0629098815458076,87115.4012478144,5480.41957331549,421875.957305783,1983373.73610786,22.7671996879842,55,todas_causas,f
2019,female,0.0191770479349133,0.0914985590427221,81634.9816744989,7469.48319069568,389501.200395755,1561497.77880208,19.1278021599637,60,todas_causas,f
2019,female,0.0290606180134159,0.135461595836825,74165.4984838032,10046.5767806496,345711.050467392,1171996.57840632,15.8024499580795,65,todas_causas,f
